Ticker,Empresa,Sector,Precio,Valor Justo,Precio Max Compra,Upside Potencial,Decisión,WACC,Deuda Total,Total Cash,Deuda Neta,Market Cap,Enterprise Value,FCF,Crecimiento (g),Ke,Kd,Beta,Ultima Actualizacion
EIG,"Employers Holdings, Inc.",Financial Services,42.45,156.84350172805196,125.47480138244157,2.6947821372921545,COMPRA FUERTE,0.07690795144846249,4100000,172400000,-168300000,998067008,829767008,152812496,0.03,0.0706,0.05,0.572,20/02/2026
OKTA,"Okta, Inc.",Technology,81.8,114.62941123216375,91.703528985731,0.40133754562547375,COMPRA FUERTE,0.08703950062816926,423000000,2463000064,-2040000064,14497432576,12457432512,962750016,0.03,0.08035,0.05,0.767,20/02/2026
MTCH,"Match Group, Inc.",Communication Services,30.69,50.783189844387046,40.62655187550964,0.6547145599344101,COMPRA FUERTE,0.08782088771259747,4076987904,1031299008,3045688896,7384693760,10430382656,843965248,0.03,0.10775000000000001,0.05,1.315,20/02/2026
SFM,"Sprouts Farmers Market, Inc.",Consumer Defensive,67.85,110.58267711354748,88.46614169083799,0.6298110112534633,COMPRA FUERTE,0.07262424343889866,1858926976,322415008,1536511968,6630720512,8167232480,509168736,0.03,0.08030000000000001,0.05,0.766,20/02/2026
AVNS,"Avanos Medical, Inc.",Healthcare,15.21,28.794669677669972,23.03573574213598,0.8931406757179468,COMPRA FUERTE,0.0916333171370845,133700000,70500000,63200000,706031616,769231616,83762496,0.03,0.09630000000000001,0.05,1.086,20/02/2026
DLTR,"Dollar Tree, Inc.",Consumer Defensive,133.57,173.35687726918414,138.68550181534732,0.2978728552008995,COMPRA FUERTE,0.07102569444370604,7658899968,594800000,7064099968,27243984896,34308084864,1654437504,0.03,0.0792,0.05,0.744,20/02/2026
PRG,"PROG Holdings, Inc.",Industrials,40.42,92.8132351807851,74.25058814462808,1.2962205636018085,COMPRA FUERTE,0.08385906755772654,602124032,308774016,293350016,1598432768,1891782784,1833997312,-0.259,0.092,0.05,1.0,20/02/2026
WLY,"John Wiley & Sons, Inc.",Communication Services,29.9,73.88792142835707,59.110337142685665,1.4711679407477283,COMPRA FUERTE,0.07155468052158642,966904000,67516000,899388000,1571495936,2470883936,166828496,0.03,0.08990000000000001,0.05,0.958,20/02/2026
MCK,McKesson Corporation,Healthcare,937.14,2393.9403137032814,1915.1522509626252,1.554517269248225,COMPRA FUERTE,0.06154896303030892,8734999552,2959000064,5775999488,115668049920,121444049408,9158500352,0.03,0.06265000000000001,0.05,0.413,20/02/2026
ZD,"Ziff Davis, Inc.",Communication Services,30.46,88.5328548610193,70.82628388881544,1.9065283933361556,COMPRA FUERTE,0.09392555032533474,896337024,503368000,392969024,1248948480,1641917504,241455376,0.03,0.11105000000000001,0.05,1.381,20/02/2026
WEX,WEX Inc.,Technology,154.72,527.6670414201382,422.1336331361106,2.4104643318261254,COMPRA FUERTE,0.0936857498833756,4921900032,5238700032,-316800000,5305121280,4988321280,1099112448,0.03,0.09045,0.05,0.969,20/02/2026
KBR,"KBR, Inc.",Industrials,43.03,60.557409262860766,48.44592741028862,0.40732998519313884,COMPRA FUERTE,0.059113264906795485,2852000000,552000000,2300000000,5544055296,7844055296,282375008,0.03,0.06725,0.05,0.505,20/02/2026
SNX,TD SYNNEX Corporation,Technology,161.3,216.23415287251606,172.98732229801286,0.3405713135307876,COMPRA FUERTE,0.09850704330633955,5081981952,2435388928,2646593024,13021612032,15668205056,1335606144,0.03,0.11050000000000001,0.05,1.37,20/02/2026
VAC,Marriott Vacations Worldwide Corporation,Consumer Cyclical,58.7,107.07871125300383,85.66296900240307,0.8241688458774076,COMPRA FUERTE,0.058142557544944115,5738999808,474000000,5264999808,2031841408,7296841216,245124992,0.03,0.10644999999999999,0.05,1.289,20/02/2026
FIS,"Fidelity National Information Services, Inc.",Technology,49.0,90.66747424289794,72.53397939431835,0.8503566172019987,COMPRA FUERTE,0.07141711287160245,13068000256,571000000,12497000256,25596551168,38093551424,2390500096,0.03,0.08700000000000001,0.05,0.9,20/02/2026
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,48.6,156.5758540101648,125.26068320813184,2.2217253911556543,COMPRA FUERTE,0.054720556995819805,3944699904,82700000,3861999904,6772530176,10634530080,614587520,0.03,0.06340000000000001,0.05,0.428,20/02/2026
